===== FarPoint Technologies, Inc =====
===== Begin of Excel Workbook General Load =====
10/28/2021 - 19:12

Col	Row	Information
___	___	___________
		Import Excel File: D:\Work Space\sasi\Ref\169.xls

===== End of Excel Workbook General Load =====

===== Begin of Excel Sheet Load =====
		Import Sheet:  -1
11	47	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	48	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	48	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	48	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	48	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	49	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	49	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	49	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	49	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	50	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	50	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	50	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	50	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	51	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	51	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	51	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	51	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	52	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	52	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	52	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	52	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	53	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	53	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	53	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	53	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	54	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	54	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	54	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	54	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	55	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	55	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	55	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	55	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	56	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
6	56	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	56	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
11	56	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
